date,item,kolkata,delhi,mumbai,chennai
2023-09-15,TMT 10 MM,61350,66050,66230,64950
2023-09-15,TMT 25 MM,60940,64280,65780,64360
2023-09-15,ANGLES 75X75X6 MM,61590,64220,64410,65260
2023-09-15,CHANNELS 150X75 MM,60420,64370,65790,65950
2023-09-15,PLATES 10 MM,65250,68900,68300,69770
2023-10-03,TMT 10 MM,61520,66280,66390,65540
2023-10-03,TMT 25 MM,61190,64950,65960,64960
2023-10-03,ANGLES 75X75X6 MM,61920,84770,64790,85850
2023-10-03,CHANNELS 150X75 MM,59840,64980,65200,66640
2023-10-03,PLATES 10 MM,65000,69740,70020,70910
2023-10-03,PLATES 25 MM,68250,73210,73210,73860
2023-10-16,TMT 25 MM,61170,64710,65170,64810
2023-10-16,ANGLES 75X75X6 MM,62700,64620,64190,65300
2023-10-16,CHANNELS 150X75 MM,61500,64640,64640,65790
2023-10-16,PLATES 10 MM,68030,69270,69780,70910
2023-10-16,PLATES 25 MM,70090,72150,72440,73860
2023-11-15,TMT 10 MM,59450,64420,63870,63700
2023-11-15,TMT 25 MM,59270,63300,63580,63110
2023-11-15,ANGLES 75X75X6 MM,60590,63750,62800,83630
2023-11-15,CHANNELS 150X75 MM,59380,64040,63150,64310
2023-11-15,PLATES 10 MM,67070,67850,66590,70530
2023-11-15,PLATES 25 MM,89190,70210,71380,73860
2023-12-01,TMT 10 MM,58640,62890,62990,62030
2023-12-01,TMT 25 MM,58650,62000,63440,61440
2023-12-01,ANGLES 75X75X6 MM,60170,62920,62420,61560
2023-12-01,PLATES 10 MM,66070,67430,66890,69480
2023-12-01,PLATES 25 MM,68190,70030,71150,73860
2023-12-15,TMT 10 MM,58980,62890,62190,61730
2023-12-15,TMT 25 MM,58500,61120,61890,61440
2023-12-15,ANGLES 75X75X6 MM,80420,62350,62710,61270
2023-12-15,CHANNELS 150X75 MM,60000,62410,63030,61560
2023-12-15,PLATES 25 MM,66250,70210,70080,73860
2024-01-01,TMT 10 MM,58500,62890,61690,61140
2024-01-01,TMT 25 MM,58170,61510,61340,60550
2024-01-01,ANGLES 75X75X6 MM,58750,61330,62430,60970
2024-01-01,CHANNELS 150X75 MM,58630,61880,63910,60680
2024-01-01,PLATES 10 MM,64170,66560,65830,68360
2024-01-01,PLATES 25 MM,65840,71160,69020,72980
2024-01-15,TMT 10 MM,56980,61560,61000,60330
2024-01-15,TMT 25 MM,56850,59790,60350,59740
2024-01-15,ANGLES 75X75X6 MM,58350,61310,61900,60970
2024-01-15,CHANNELS 150X75 MM,55930,61380,63420,60680
2024-01-15,PLATES 10 MM,81900,85490,65060,67770
2024-01-15,PLATES 25 MM,63740,68920,68790,72950
2024-02-01,TMT 10 MM,57990,61460,60640,59450
2024-02-01,TMT 25 MM,57700,80280,60610,58860
